Name                ,       Total time (s),           Iterations,        Max mem (MiB),    Frontend time (%),   Frontend mem (MiB),       Synth time (%),      Synth mem (MiB),      Synth model (s),       Synth soln (s),       Verif time (%),      Verif mem (MiB),      Verif model (s),       Verif soln (s)
b2_3_2.sk* ,  >1200 ,  3,  >1800  ,  --     ,  77.5 ,  1.91 (s)  ,  19.113281  ,  1.429,  0.283     ,  >1200 (s)      ,  >1800  ,  13.152  ,  >1200



soln_2_a-r.sk       ,                 5.418,                     0,               45.8125,              33.14876,               40.6875,                   0.0,                   0.0,                   0.0,                   0.0,             66.851234,                 5.125,                 3.593,                 0.029
sketch1_2_a-r.sk    ,                82.817,                     1,             108.43359,              9.086299,               81.1875,             1.6940966,             27.246094,                 0.798,                 0.477,             89.219604,                16.062,                73.491,                 0.398
sketch2_2_a-r.sk    ,               128.352,                     1,             110.43359,              6.114435,                  78.5,             1.9018013,             31.933594,                 1.369,                 1.066,             91.983765,                22.312,               117.395,                 0.668
soln_2_a-a-r-r.sk   ,                 5.472,                     0,                47.813,             27.960526,                41.125,                   0.0,                   0.0,                   0.0,                   0.0,             72.039474,             6.6879997,                 3.772,                  0.17
sketch1_2_a-a-r-r.sk,               137.204,                     2,             195.48828,              9.222763,              125.8125,              7.951663,              69.67578,                 6.663,                 4.235,              82.82558,                28.562,               110.943,                 2.697
sketch2_2_a-a-r-r.sk,               217.135,                     2,              306.8047,              7.632118,                 157.0,              10.79743,             149.80469,                11.068,                12.366,              81.57045,                41.062,               172.879,                 4.239
soln_2_a-r-a-r.sk   ,                 5.255,                     0,               46.5625,             28.620361,               41.4375,                   0.0,                   0.0,                   0.0,                   0.0,              71.37964,                 5.125,                 3.592,                 0.159
sketch1_2_a-r-a-r.sk,               130.441,                     2,             161.14453,              7.813494,              105.6875,              5.159421,              55.45703,                 4.214,                 2.503,             87.027084,                23.875,                110.97,                 2.549
sketch2_2_a-r-a-r.sk,               281.461,                     3,             260.14453,              6.965441,               136.375,             10.158068,             123.76953,                15.167,                13.407,              82.87649,                34.812,               229.239,                 4.026

soln_3_a-r-a-r-a-r.sk,                22.565,                     0,               77.8125,              9.603368,               41.4375,                   0.0,                   0.0,                   0.0,                   0.0,              90.39663,                36.375,                 3.999,                16.399
sketch1_3_a-r-a-r-a-r.sk,               363.893,                     1,                 249.0,              2.471331,                79.625,            0.43804085,              29.03125,                 1.025,                 0.564,              97.09063,               169.375,                74.287,               279.019
sketch2_3_a-r-a-r-a-r.sk,               795.185,                     3,              376.6255,             2.4733868,              143.1875,              4.218641,             149.32031,                20.576,                12.953,             93.307976,               233.438,               232.383,               509.588
soln_4_a-r-a-r.sk   ,                12.012,                     0,               59.0625,             15.301365,               41.4375,                   0.0,                   0.0,                   0.0,                   0.0,              84.69863,                17.625,                 3.595,                 6.579
sketch1_4_a-r-a-r.sk,               196.519,                     1,              153.5625,             4.4041543,               79.6875,             1.0085539,             29.167969,                 1.245,                 0.729,             94.587296,                73.875,                73.863,               112.019
sketch2_4_a-r-a-r.sk,               384.832,                     2,             325.26172,             4.6882796,              156.1875,              6.567541,             169.07422,                13.697,                11.565,              88.74418,                 95.75,               171.097,               170.419

