polynomial.dmcs,1,7265.940,0.150,6950,1827,0.011841,724752,61205286,777,97954,5
tmp.dmcs,1,865.000,0.310,1000,254,0.010622,73156,6887357,80,11984,7
polynomial.dmcs,1,915.940,0.160,1000,254,0.010622,73156,6887357,80,11984,7
