12 {12.0,11.1,11.32,40.0,8.0,265.0,0.85,10.0,0.2,1.19,0.2,7.03} 1
12 {16.76,14.8,10.92,21.0,30.0,478.4,0.29,9.99,0.2,1.19,0.21,26.84} 0
