"Psketch performance tests:  08/03/28"																
																
																
"Benchmark"	"Candidates"	"Control Bits"	"log C"													
"queueE1"	4	2	0.6													
"queueDE1"	1.00E+004	34	4													
"queueE2"	1.00E+007	75	7													
"queueDE2"	1.00E+009	107	9													
"barrier1"	1.00E+005	41	5													
"barrier2"	1.00E+008	177	8													
"fineset1"	1.00E+005	64	5													
"fineset2"	1.00E+007	92	7													
"lazyset"	1.00E+004	12	4													
"dinphilo"	1.00E+007	79	7													
																
																
																
																
"Name                "	"Iterations"	"Result"	"Passed full verif"	"Total time (s)"	"Synth soln (s)"	"Synth model (s)"	"Verif soln (s)"	"Verif model (s)"	"Max mem (MiB)"	"Synth mem (MiB)"	"Verif mem (MiB)"		"Frontend time (%)"	"Frontend mem (MiB)"	"Synth time (%)"	"Verif time (%)"
"$ar(aa|rr)$"	2	"Sat"		137.2	4.24	6.66	2.7	110.94	195.49	69.68	28.56		9.22	125.81	7.95	82.83
"$ar(ar|ar)$"	2	"Sat"		130.44	2.5	4.21	2.55	110.97	161.14	55.46	23.88		7.81	105.69	5.16	87.03
"$ar(ar|ar|ar)$"	1	"Sat"		363.89	0.56	1.03	279.02	74.29	249	29.03	169.38		2.47	79.63	0.44	97.09
"$ar(a|r|a|r)$"	1	"Sat"		196.52	0.73	1.25	112.02	73.86	153.56	29.17	73.88		4.4	79.69	1.01	94.59
"$ar(arar|arar)$"	1	"Sat"		165.43	0.66	1.26	80.02	73.85	259.25	29.14	136.38		5.75	122.88	1.25	93.01
"$ar(aaaa|rrrr)$"	2	"Sat"		225.54	8.63	12.94	74.12	111.07	345.62	156.81	145.75		8.32	188.81	9.57	82.11
"fineset2"																
"$ar(a|r)$    "	1	"Sat"		128.35	1.07	1.37	0.67	117.4	110.43	31.93	22.31		6.11	78.5	1.9	91.98
"$ar(aa|rr)$"	2	"Sat"		217.14	12.37	11.07	4.24	172.88	306.8	149.8	41.06		7.63	157	10.8	81.57
"$ar(ar|ar)$"	3	"Sat"		281.46	13.41	15.17	4.03	229.24	260.14	123.77	34.81		6.97	136.38	10.16	82.88
"$ar(ar|ar|ar)$"	3	"Sat"		795.19	12.95	20.58	509.59	232.38	376.63	149.32	233.44		2.47	143.19	4.22	93.31
"$ar(a|r|a|r)$"	2	"Sat"		384.83	11.57	13.7	170.42	171.1	325.26	169.07	95.75		4.69	156.19	6.57	88.74
"$ar(arar|arar)$"	2	"Sat"		299.97	4.85	6.33	99.82	174.01	346.56	75.68	212.94		4.98	133.63	3.73	91.29
"$ar(aaaa|rrrr)$"	3	"Sat"		468.7	40.86	46.3	107.69	228.61	563.1	287.41	227		9.65	275.69	18.6	71.75
"soln"																
"$ar(a|r)$       "	0			5.42	0	0	0.03	3.59	45.81	0	5.13		33.15	40.69	0	66.85
"$ar(aa|rr)$   "	0			5.47	0	0	0.17	3.77	47.81	0	6.69		27.96	41.13	0	72.04
"$ar(ar|ar)$   "	0			5.26	0	0	0.16	3.59	46.56	0	5.13		28.62	41.44	0	71.38
"$ar(ar|ar|ar)$"	0			22.57	0	0	16.4	4	77.81	0	36.38		9.6	41.44	0	90.4
"$ar(a|r|a|r)$   "	0			12.01	0	0	6.58	3.6	59.06	0	17.63		15.3	41.44	0	84.7
"$ar(aa|rr|aa|rr)$"	0			1337.04	0	0	0	0	41.69	0	0		100	41.69	0	0
"$ar(ar|ar|ar|ar)$"	0			1239.48	0	0	0	0	41.31	0	0		100	41.31	0	0
"$ar(arar|arar)$"	0			13.14	0	0	3.69	5.52	58.81	0	17.63		29.92	41.19	0	70.08
"$ar(aaaa|rrrr)$"	0			9.97	0	0	4.11	3.65	73.63	0	19.19		22.14	54.44	0	77.86
																
																
																
"Name                "	"Iterations"			"Total time (s)"	"Synth soln (s)"	"Synth model (s)"	"Verif soln (s)"	"Verif model (s)"	"Max mem (MiB)"	"Synth mem (MiB)"	"Verif mem (MiB)"		"Frontend time (%)"	"Frontend mem (MiB)"	"Synth time (%)"	"Verif time (%)"
"remove() method of lazy, list-based set"																
"lazyset"																
"$ar(aa|rr)$"	12	"Sat"		179.17	5.32	16.6	11.43	107.4	294.03	54.28	11.38		21.41	239.75	12.27	66.32
"$ar(ar|ar)$"	7	"UNSAT"		100.24	1.88	5.41	2.51	66.49	246.81	41.87	9.81		23.86	204.94	7.31	68.83
"soln"																
"$ar(aa|rr)$ "	0			7.21	0	0	0.65	3.32	60.75	0	6.69		45.02	54.06	0	54.98
"$ar(ar|ar)$ "	0			23.53	0	0	16.9	3.49	98.31	0	44.19		13.36	54.13	0	86.64
																
																
																
"Name                "	"Iterations"			"Total time (s)"	"Synth soln (s)"	"Synth model (s)"	"Verif soln (s)"	"Verif model (s)"	"Max mem (MiB)"	"Synth mem (MiB)"	"Verif mem (MiB)"		"Frontend time (%)"	"Frontend mem (MiB)"	"Synth time (%)"	"Verif time (%)"
"Dining philosophers"																
