"Psketch performance tests:  08/03/28"													
													
													
"Benchmark"	"Candidates"	"Control Bits"											
"fineset1_2_a-r-a-r"	130.44	2	161.14	7.81	105.69	5.16	55.46	4.21	2.5	87.03	23.88	110.97	2.55
"fineset1_3_a-r-a-r-a-r"	363.89	1	249	2.47	79.63	0.44	29.03	1.03	0.56	97.09	169.38	74.29	279.02
"fineset1_4_a-r-a-r"	196.52	1	153.56	4.4	79.69	1.01	29.17	1.25	0.73	94.59	73.88	73.86	112.02
"fineset1_2_a-r-a-r-a-r-a-r"	165.43	1	259.25	5.75	122.88	1.25	29.14	1.26	0.66	93.01	136.38	73.85	80.02
"fineset1_2_a-a-a-a-r-r-r-r"	225.54	2	345.62	8.32	188.81	9.57	156.81	12.94	8.63	82.11	145.75	111.07	74.12
"fineset2"													
"fineset2_2_a-r    "	128.35	1	110.43	6.11	78.5	1.9	31.93	1.37	1.07	91.98	22.31	117.4	0.67
"fineset2_2_a-a-r-r"	217.14	2	306.8	7.63	157	10.8	149.8	11.07	12.37	81.57	41.06	172.88	4.24
"fineset2_2_a-r-a-r"	281.46	3	260.14	6.97	136.38	10.16	123.77	15.17	13.41	82.88	34.81	229.24	4.03
"fineset2_3_a-r-a-r-a-r"	795.19	3	376.63	2.47	143.19	4.22	149.32	20.58	12.95	93.31	233.44	232.38	509.59
"fineset2_4_a-r-a-r"	384.83	2	325.26	4.69	156.19	6.57	169.07	13.7	11.57	88.74	95.75	171.1	170.42
"fineset2_2_a-r-a-r-a-r-a-r"	299.97	2	346.56	4.98	133.63	3.73	75.68	6.33	4.85	91.29	212.94	174.01	99.82
"fineset2_2_a-a-a-a-r-r-r-r"	468.7	3	563.1	9.65	275.69	18.6	287.41	46.3	40.86	71.75	227	228.61	107.69
													
"soln_2_a-r       "	5.42	0	45.81	33.15	40.69	0	0	0	0	66.85	5.13	3.59	0.03
"soln_2_a-a-r-r   "	5.47	0	47.81	27.96	41.13	0	0	0	0	72.04	6.69	3.77	0.17
"soln_2_a-r-a-r   "	5.26	0	46.56	28.62	41.44	0	0	0	0	71.38	5.13	3.59	0.16
"soln_3_a-r-a-r-a-r"	22.57	0	77.81	9.6	41.44	0	0	0	0	90.4	36.38	4	16.4
"soln_4_a-r-a-r   "	12.01	0	59.06	15.3	41.44	0	0	0	0	84.7	17.63	3.6	6.58
"soln_4_a-a-r-r-a-a-r-r"	1337.04	0	41.69	100	41.69	0	0	0	0	0	0	0	0
